Device,Model,MaxNumSeqs,MaxNumBatchedTokens,TensorParallelSize,MaxModelLen,Dataset,InputLen,OutputLen,ExpectedETEL,NumPrompts
b200-8,Qwen/Qwen2.5-32B,256,262144,8,262144,sonnet,1800,128,,2000
b200-8,Qwen/Qwen2.5-32B,256,262144,8,262144,sonnet,1800,128,,3000
b200-8,Qwen/Qwen2.5-32B,256,262144,8,262144,sonnet,1800,128,,5000
b200-8,Qwen/Qwen2.5-32B,256,524288,8,262144,sonnet,1800,128,,1000
b200-8,Qwen/Qwen2.5-32B,256,524288,8,262144,sonnet,1800,128,,2000
b200-8,Qwen/Qwen2.5-32B,256,524288,8,262144,sonnet,1800,128,,3000
b200-8,Qwen/Qwen2.5-32B,256,524288,8,262144,sonnet,1800,128,,5000
b200-8,Qwen/Qwen2.5-32B,256,1048576,8,262144,sonnet,1800,128,,1000
b200-8,Qwen/Qwen2.5-32B,256,1048576,8,262144,sonnet,1800,128,,2000
b200-8,Qwen/Qwen2.5-32B,256,1048576,8,262144,sonnet,1800,128,,3000
b200-8,Qwen/Qwen2.5-32B,256,1048576,8,262144,sonnet,1800,128,,5000
b200-8,Qwen/Qwen2.5-32B,512,131072,8,262144,sonnet,1800,128,,1000
b200-8,Qwen/Qwen2.5-32B,512,131072,8,262144,sonnet,1800,128,,2000
b200-8,Qwen/Qwen2.5-32B,512,131072,8,262144,sonnet,1800,128,,3000
b200-8,Qwen/Qwen2.5-32B,512,131072,8,262144,sonnet,1800,128,,5000
b200-8,Qwen/Qwen2.5-32B,512,262144,8,262144,sonnet,1800,128,,1000
b200-8,Qwen/Qwen2.5-32B,512,262144,8,262144,sonnet,1800,128,,2000
b200-8,Qwen/Qwen2.5-32B,512,262144,8,262144,sonnet,1800,128,,3000
b200-8,Qwen/Qwen2.5-32B,512,262144,8,262144,sonnet,1800,128,,5000
b200-8,Qwen/Qwen2.5-32B,512,524288,8,262144,sonnet,1800,128,,1000
b200-8,Qwen/Qwen2.5-32B,512,524288,8,262144,sonnet,1800,128,,2000
b200-8,Qwen/Qwen2.5-32B,512,524288,8,262144,sonnet,1800,128,,3000
b200-8,Qwen/Qwen2.5-32B,512,524288,8,262144,sonnet,1800,128,,5000
b200-8,Qwen/Qwen2.5-32B,512,1048576,8,262144,sonnet,1800,128,,1000
b200-8,Qwen/Qwen2.5-32B,512,1048576,8,262144,sonnet,1800,128,,2000
b200-8,Qwen/Qwen2.5-32B,512,1048576,8,262144,sonnet,1800,128,,3000
b200-8,Qwen/Qwen2.5-32B,512,1048576,8,262144,sonnet,1800,128,,5000
b200-8,Qwen/Qwen2.5-32B,1024,131072,8,262144,sonnet,1800,128,,1000
b200-8,Qwen/Qwen2.5-32B,1024,131072,8,262144,sonnet,1800,128,,2000
b200-8,Qwen/Qwen2.5-32B,1024,131072,8,262144,sonnet,1800,128,,3000
b200-8,Qwen/Qwen2.5-32B,1024,131072,8,262144,sonnet,1800,128,,5000
b200-8,Qwen/Qwen2.5-32B,1024,262144,8,262144,sonnet,1800,128,,1000
b200-8,Qwen/Qwen2.5-32B,1024,262144,8,262144,sonnet,1800,128,,2000
b200-8,Qwen/Qwen2.5-32B,1024,262144,8,262144,sonnet,1800,128,,3000
b200-8,Qwen/Qwen2.5-32B,1024,262144,8,262144,sonnet,1800,128,,5000
b200-8,Qwen/Qwen2.5-32B,1024,524288,8,262144,sonnet,1800,128,,1000
b200-8,Qwen/Qwen2.5-32B,1024,524288,8,262144,sonnet,1800,128,,2000
b200-8,Qwen/Qwen2.5-32B,1024,524288,8,262144,sonnet,1800,128,,3000
b200-8,Qwen/Qwen2.5-32B,1024,524288,8,262144,sonnet,1800,128,,5000
